iso_code	continent	location	date	total_cases	new_cases	new_cases_smoothed	total_deaths	new_deaths	new_deaths_smoothed	total_cases_per_million	new_cases_per_million	new_cases_smoothed_per_million	total_deaths_per_million	new_deaths_per_million	new_deaths_smoothed_per_million	reproduction_rate	icu_patients	icu_patients_per_million	hosp_patients	hosp_patients_per_million	weekly_icu_admissions	weekly_icu_admissions_per_million	weekly_hosp_admissions	weekly_hosp_admissions_per_million	new_tests	total_tests	total_tests_per_thousand	new_tests_per_thousand	new_tests_smoothed	new_tests_smoothed_per_thousand	positive_rate	tests_per_case	tests_units	total_vaccinations	people_vaccinated	people_fully_vaccinated	new_vaccinations	new_vaccinations_smoothed	total_vaccinations_per_hundred	people_vaccinated_per_hundred	people_fully_vaccinated_per_hundred	new_vaccinations_smoothed_per_million	stringency_index	population	population_density	median_age	aged_65_older	aged_70_older	gdp_per_capita	extreme_poverty	cardiovasc_death_rate	diabetes_prevalence	female_smokers	male_smokers	handwashing_facilities	hospital_beds_per_thousand	life_expectancy	human_development_index	excess_mortality
ITA	Europe	Italy	2021-07-24	4312673.0	5138.0	4048.714	127942.0	5.0	11.143	71328.856	84.979	66.963	2116.079	0.083	0.184																			64933226.0	37315426.0	28934137.0	440836.0	536936.0	107.4	61.72	47.86	8881.0		60461828.0	205.859	47.9	23.021	16.24	35220.084	2.0	113.151	4.78	19.8	27.8		3.18	83.51	0.892	
JAM	North America	Jamaica	2021-07-24	51686.0	0.0	90.571	1168.0	0.0	2.143	17454.64	0.0	30.586	394.44	0.0	0.724																													2961161.0	266.879	31.4	9.684	6.39	8193.571		206.537	11.28	5.3	28.6	66.425	1.7	74.47	0.734	
JPN	Asia	Japan	2021-07-24	866325.0	3740.0	3910.286	15068.0	9.0	11.143	6849.694	29.571	30.917	119.137	0.071	0.088																													126476458.0	347.778	48.2	27.049	18.493	39002.223		79.37	5.72	11.2	33.7		13.05	84.63	0.919	
JOR	Asia	Jordan	2021-07-24	763922.0	485.0	481.714	9948.0	15.0	8.714	74871.265	47.534	47.212	974.994	1.47	0.854																			4748953.0	2757973.0	1990980.0		24942.0	46.54	27.03	19.51	2445.0		10203140.0	109.285	23.2	3.81	2.361	8337.49	0.1	208.257	11.75				1.4	74.53	0.729	
KAZ	Asia	Kazakhstan	2021-07-24	582013.0	6746.0	4946.714	5244.0	0.0	47.857	30996.543	359.275	263.45	279.282	0.0	2.549																			8268903.0	5098010.0	3170893.0	138026.0	100220.0	44.04	27.15	16.89	5337.0		18776707.0	6.681	30.6	6.991	4.625	24055.588	0.1	466.792	7.11	7.0	43.1	98.999	6.7	73.6	0.825	
KEN	Africa	Kenya	2021-07-24	196745.0	847.0	615.714	3849.0	11.0	12.714	3658.922	15.752	11.451	71.581	0.205	0.236																													53771300.0	87.324	20.0	2.686	1.528	2993.028	36.8	218.637	2.92	1.2	20.4	24.651	1.4	66.7	0.601	
KIR	Oceania	Kiribati	2021-07-24	2.0	0.0	0.0			0.0	16.744	0.0	0.0			0.0																													119446.0	143.701	23.2	3.895	2.21	1981.132		434.657	22.66	35.9	58.9		1.9	68.37	0.63	
KWT	Asia	Kuwait	2021-07-24	391781.0	1913.0	1029.714	2279.0	15.0	9.714	91739.895	447.95	241.119	533.653	3.512	2.275																													4270563.0	232.128	33.7	2.345	1.114	65530.537		132.235	15.84	2.7	37.0		2.0	75.49	0.806	
KGZ	Asia	Kyrgyzstan	2021-07-24	156152.0	1147.0	1213.714	2238.0	11.0	10.429	23934.308	175.807	186.033	343.031	1.686	1.598																													6524191.0	32.333	26.3	4.489	2.882	3393.474	1.4	436.362	7.11	3.6	50.5	89.22	4.5	71.45	0.697	
LAO	Asia	Laos	2021-07-24	4620.0	278.0	189.286	5.0	0.0	0.143	635.003	38.21	26.017	0.687	0.0	0.02																													7275556.0	29.715	24.4	4.029	2.322	6397.36	22.7	368.111	4.0	7.3	51.2	49.839	1.5	67.92	0.613	
